episode_num,alBaji,Ameni,Azza,Dalanda,Douja,Fadhila,Fatma,Fouchika,Jannet,Sbouii,Slimen,Zaineb
episode_1,1,1,3,2,1,3,1,0,3,4,4,2
episode_2,1,2,5,0,1,4,2,0,4,5,4,4
episode_3,1,1,4,2,0,3,1,0,3,4,4,1
episode_4,2,3,3,2,1,4,2,0,4,6,4,2
episode_5,1,3,5,1,3,5,0,0,3,4,4,5
episode_6,1,1,3,0,0,4,0,0,3,5,5,3
episode_7,2,2,5,0,0,3,2,0,0,6,4,4
episode_8,2,2,4,0,2,5,0,0,1,6,5,4
episode_9,2,1,1,0,0,2,0,0,1,6,6,2
episode_10,2,0,1,0,1,2,1,0,1,5,4,3
episode_11,3,1,4,0,0,2,0,0,3,7,6,3
episode_12,2,2,4,0,3,5,1,0,2,7,5,4
episode_13,2,2,2,0,0,3,0,0,2,6,7,2
episode_14,0,0,3,1,0,2,0,0,4,5,6,1
episode_15,3,1,3,1,0,3,0,0,4,6,5,2
episode_16,4,0,5,0,0,3,0,0,4,9,10,3
episode_17,2,1,3,1,3,5,0,0,3,5,6,4
episode_18,2,1,4,2,2,3,0,0,3,4,6,5
episode_19,1,3,4,4,0,4,0,0,1,8,8,4
episode_20,1,3,3,2,0,4,1,0,2,4,6,4
episode_21,2,0,4,4,0,4,0,0,3,5,4,4
episode_22,3,4,4,4,1,4,0,0,2,6,8,5
episode_23,2,1,4,6,0,2,0,0,2,2,7,4
episode_24,2,2,4,2,2,6,0,0,3,6,7,3
episode_25,0,2,3,5,1,4,0,0,3,6,9,5
episode_26,1,2,4,3,4,5,0,0,4,3,9,6
episode_27,1,1,5,4,1,3,1,0,5,6,6,3
episode_28,1,5,7,3,0,2,2,0,2,5,7,2
episode_29,1,1,2,2,0,4,0,0,2,4,6,4
episode_30,2,0,3,4,2,1,0,0,2,4,4,2
